P_atm_mbar,Temp_amb_Celsius,hum_rela_ar,Pot_W,ruido_dB,Frequencia_Hz,Tensao_V,Temp_esc_Celsius,tempo_s,massa_g
910,25.1,61,548,97.8,59.1,107,247,0,-5
910,25.1,61,548,97.8,59.1,107,247,60,-15
910,25.1,61,548,97.8,59.1,107,247,120,-25
910,25.1,61,548,97.8,59.1,107,247,180,-37
910,25.1,61,548,97.8,59.1,107,247,240,-48
910,25.1,61,548,97.8,59.1,107,247,300,-58
910,25.1,61,548,97.8,59.1,107,247,360,-69
910,25.1,61,157,92.7,60.9,107,270,0,-5
910,25.1,61,157,92.7,60.9,107,270,60,-13
910,25.1,61,157,92.7,60.9,107,270,120,-20
910,25.1,61,157,92.7,60.9,107,270,180,-28
910,25.1,61,157,92.7,60.9,107,270,240,-37
910,25.1,61,157,92.7,60.9,107,270,300,-45
910,25.1,61,157,92.7,60.9,107,270,360,-51
910,25.1,61,0,93.9,61.7,106,243,0,-5
910,25.1,61,0,93.9,61.7,106,243,60,-11
910,25.1,61,0,93.9,61.7,106,243,120,-17
910,25.1,61,0,93.9,61.7,106,243,180,-24
910,25.1,61,0,93.9,61.7,106,243,240,-30
910,25.1,61,0,93.9,61.7,106,243,300,-37
910,25.1,61,0,93.9,61.7,106,243,360,-43
910,25.1,61,660,93,58.6,106,320,60,-6
910,25.1,61,660,93,58.6,106,320,120,-18
910,25.1,61,660,93,58.6,106,320,180,-30
910,25.1,61,660,93,58.6,106,320,240,-41
910,25.1,61,660,93,58.6,106,320,300,-53
910,25.1,61,660,93,58.6,106,320,360,-65